OID,PID
0,774
0,774
1,576
1,835
1,835
1,34
1,34
1,43
2,651
2,651
2,827
2,827
2,337
2,337
2,337
3,382
3,382
3,382
3,484
3,484
3,843
4,113
4,113
4,113
4,397
4,397
5,409
5,864
5,864
5,834
5,834
5,834
5,787
6,457
6,457
6,457
6,170
6,170
6,170
6,344
6,344
6,344
7,307
7,620
7,620
7,620
7,538
8,785
8,785
8,100
8,100
8,100
8,472
8,472
8,472
8,610
9,69
9,69
9,69
10,819
10,283
10,678
10,678
11,265
11,604
11,604
11,604
11,184
11,184
11,184
11,620
11,620
11,620
12,33
12,464
12,464
12,464
13,726
13,726
13,809
13,809
13,809
13,72
13,72
13,72
13,400
13,400
14,818
14,818
14,712
14,712
14,712
14,925
14,925
14,745
14,745
14,276
15,571
15,571
15,831
15,831
15,613
16,260
16,260
16,897
16,296
16,296
16,296
16,512
16,944
16,944
17,889
17,889
17,226
17,515
17,515
17,515
17,855
17,855
18,334
18,334
19,794
19,794
19,794
19,173
19,173
19,173
19,866
19,918
19,918
20,951
20,27
20,27
20,793
20,793
20,793
20,223
20,223
20,223
20,237
20,237
21,700
21,700
21,845
21,845
21,845
22,57
22,966
22,966
22,966
23,554
23,554
23,554
23,418
24,802
24,802
24,802
24,152
24,914
24,914
25,318
25,318
25,318
25,796
25,94
25,94
25,970
25,970
25,970
25,594
25,594
25,594
26,628
26,628
26,805
26,805
26,805
26,747
26,747
27,925
28,810
28,810
28,810
28,547
28,547
28,547
29,191
29,191
29,191
29,393
29,393
29,393
30,683
31,483
31,174
31,174
31,174
32,66
32,66
32,887
32,365
32,365
32,365
32,665
32,680
33,64
33,64
33,11
33,11
33,11
33,318
33,318
34,332
34,332
34,332
34,782
34,782
34,782
34,616
34,628
34,628
34,628
34,528
34,528
35,862
35,862
35,226
35,226
35,226
35,29
35,29
36,115
36,10
36,10
37,453
37,453
37,453
38,888
38,888
38,888
39,893
39,893
39,618
39,136
39,136
39,259
39,259
39,129
40,350
40,554
41,104
41,104
41,104
41,772
41,772
41,379
41,379
42,124
42,124
42,124
42,429
42,429
42,429
42,893
42,893
43,728
43,835
43,835
43,835
43,637
43,673
43,673
44,945
44,945
44,945
45,684
45,102
46,681
46,681
46,256
46,256
47,195
47,195
47,276
48,670
48,670
48,670
49,265
49,265
49,737
49,737
49,737
49,189
49,85
49,85
49,85
49,954
49,954
49,954
50,187
50,662
50,662
50,662
50,893
50,893
50,893
50,518
50,94
50,94
51,264
51,754
51,754
51,754
51,95
52,161
52,161
52,661
53,529
53,529
53,529
53,139
53,139
53,139
53,587
53,587
53,587
54,663
55,951
55,951
55,951
55,833
55,833
55,833
56,655
56,655
56,655
57,260
57,260
57,175
57,175
58,400
58,322
58,322
59,761
59,761
60,885
60,885
60,160
60,160
60,937
60,937
60,970
60,970
60,970
60,916
61,474
61,374
61,374
61,52
61,421
61,421
61,421
61,160
61,160
62,424
62,424
62,424
62,492
62,492
63,189
63,189
63,61
63,61
63,692
63,692
63,692
63,39
63,39
63,786
63,786
64,720
64,720
64,758
64,758
65,696
65,696
65,887
65,887
65,887
65,578
65,886
65,886
65,886
66,765
66,765
66,765
66,676
66,676
66,676
66,714
66,714
66,714
66,104
66,104
66,104
66,42
66,42
66,42
67,621
67,621
67,621
67,743
67,743
67,301
67,301
67,301
67,467
67,467
68,855
68,855
68,562
68,562
68,537
69,899
69,84
69,84
69,426
69,426
69,426
70,698
70,523
70,523
71,168
71,168
71,483
71,483
72,463
72,463
72,463
72,703
73,896
73,956
73,956
73,956
74,80
74,1
74,1
75,146
75,146
75,146
75,643
75,643
75,81
76,220
76,809
76,816
76,816
76,363
76,363
76,363
76,324
76,324
77,180
77,180
78,559
78,559
78,807
79,188
79,188
79,701
79,701
79,299
79,299
80,868
80,601
80,601
80,601
80,579
81,330
81,111
81,111
81,111
81,724
82,525
82,525
82,525
82,526
82,526
82,526
82,106
82,106
82,106
82,496
82,496
82,496
83,330
83,330
83,330
84,468
84,468
84,468
84,574
84,358
84,358
84,358
84,543
84,543
84,543
85,105
85,10
85,745
85,777
86,473
86,473
86,473
86,673
86,673
86,313
87,488
87,851
87,649
87,307
87,307
87,307
88,120
88,120
88,120
88,71
88,71
88,518
89,587
89,587
89,840
89,488
89,488
90,389
90,389
90,389
90,804
90,893
90,654
90,235
90,235
90,235
91,246
91,246
91,933
91,733
91,368
91,368
91,368
91,52
91,52
92,932
92,932
93,447
93,122
93,122
94,955
94,955
94,786
94,786
94,790
94,790
94,790
95,476
95,476
95,217
95,217
95,577
95,488
96,924
96,924
96,768
96,768
96,940
96,891
96,891
96,891
96,130
96,130
97,627
97,627
97,938
97,938
97,146
97,146
97,146
97,873
97,873
97,697
97,697
97,697
98,136
98,136
98,136
98,749
98,749
98,753
98,753
98,693
98,693
98,693
99,884
99,884
100,120
100,120
100,363
101,756
102,149
102,613
102,613
102,251
102,251
103,107
103,107
104,548
104,548
104,548
105,897
105,897
105,480
105,480
105,641
105,853
105,669
105,669
106,474
106,188
106,743
106,867
106,867
107,374
107,374
108,161
108,161
108,922
108,922
108,922
109,855
109,855
110,479
110,479
110,479
110,332
110,332
111,662
111,546
111,546
111,546
111,732
111,732
111,523
111,523
111,684
111,684
111,684
112,648
112,648
112,648
112,877
112,58
112,58
112,58
112,479
112,479
113,753
113,239
113,684
113,684
113,395
114,756
114,756
114,638
114,638
114,638
114,67
114,67
115,599
116,164
116,164
116,111
116,933
117,29
117,29
117,29
118,921
118,921
119,412
119,412
119,412
119,442
119,458
119,458
119,458
120,497
120,497
120,497
120,455
120,455
120,455
120,670
120,670
120,670
121,136
121,34
121,34
121,34
121,752
121,88
122,722
122,722
122,722
122,870
122,870
122,870
122,251
122,251
122,251
122,503
122,503
122,503
123,53
123,53
123,948
123,948
124,562
124,652
124,652
124,347
124,347
124,347
124,390
124,390
124,282
124,282
125,208
125,208
125,69
125,69
125,69
126,388
126,388
126,599
126,599
126,79
126,895
126,627
127,431
127,431
127,62
127,62
127,62
128,770
128,146
128,471
128,471
128,471
128,843
128,843
129,76
129,76
129,705
129,674
129,215
129,152
129,152
129,152
130,878
130,549
130,395
130,395
130,395
131,823
131,823
131,823
132,340
132,537
132,564
132,564
132,564
133,901
133,901
133,901
133,703
133,703
133,703
134,399
134,399
134,399
134,319
134,319
134,319
134,428
134,428
135,882
135,882
135,882
135,571
135,571
135,411
135,638
135,638
135,341
136,926
137,10
137,10
137,506
137,506
138,29
138,29
138,795
138,795
138,704
138,704
138,704
138,906
139,701
139,701
139,701
140,812
140,392
140,392
140,304
140,304
140,304
140,455
140,455
140,936
140,936
140,936
141,649
141,649
141,217
141,411
141,411
141,411
141,287
142,854
142,854
142,854
143,454
143,473
143,473
143,913
143,913
143,913
143,409
143,409
144,128
144,265
145,355
145,355
145,761
145,426
145,937
145,937
145,937
145,737
146,217
146,217
146,217
146,32
146,828
146,828
146,467
146,467
147,74
147,74
148,912
148,912
148,912
149,237
149,382
149,789
150,90
150,554
151,263
151,263
151,900
152,369
152,369
152,457
152,447
152,123
152,123
152,123
153,69
153,895
153,895
153,895
154,107
154,107
154,374
154,684
155,665
156,341
156,341
156,341
156,502
156,502
156,828
156,828
157,411
157,411
158,927
158,462
158,462
158,274
158,274
158,274
158,216
158,216
158,216
158,228
158,228
159,817
159,374
159,374
159,561
159,561
159,797
159,457
159,457
160,764
161,111
161,111
161,783
161,783
161,276
161,276
161,710
161,710
161,720
161,720
162,333
162,804
162,804
162,804
163,792
163,48
163,806
163,806
163,806
163,877
163,877
163,877
164,537
164,537
165,879
165,879
166,188
166,188
166,382
166,382
166,695
166,695
166,695
166,785
167,659
167,659
167,659
167,283
167,283
167,887
167,887
167,887
167,242
167,242
168,474
168,941
168,390
169,257
169,793
169,2
170,364
170,615
170,615
170,840
170,298
170,298
171,647
171,647
171,647
172,922
172,922
172,196
172,196
173,581
173,581
173,581
173,861
173,861
173,932
173,932
174,133
174,796
174,796
175,534
175,516
175,516
175,516
176,590
176,16
176,16
177,627
177,627
177,627
177,150
177,150
178,105
178,76
178,125
178,125
178,125
178,922
178,922
179,87
179,241
180,380
180,380
180,330
180,330
180,703
180,573
180,606
180,606
181,161
181,161
182,14
182,44
182,44
182,44
182,678
182,678
182,905
182,905
183,181
183,181
183,181
183,840
184,445
184,445
184,422
184,346
184,346
185,714
185,899
185,899
185,447
186,449
186,449
186,498
186,498
186,24
186,897
186,897
186,76
186,76
186,76
187,365
187,365
187,365
188,947
189,658
189,658
189,658
189,743
189,743
189,731
189,477
189,477
189,477
189,885
190,242
190,242
191,936
191,936
191,936
191,970
191,970
191,480
191,480
191,480
191,5
191,5
191,88
191,88
192,540
192,540
192,385
192,385
192,353
192,353
192,169
192,169
193,555
193,195
193,195
193,195
193,411
194,645
194,645
194,758
195,118
195,118
195,166
195,166
196,924
196,924
196,2
196,2
196,2
196,808
196,808
196,851
196,851
196,851
196,11
196,11
196,11
197,705
197,705
197,705
198,373
198,746
198,746
198,523
198,523
198,751
198,751
198,751
198,608
198,608
198,608
199,948
199,948
200,633
200,633
200,84
200,84
200,84
201,335
201,335
201,710
201,710
201,781
201,781
201,781
202,220
202,920
202,920
202,920
202,12
202,135
202,135
202,135
203,39
203,39
203,551
203,551
203,551
204,753
204,753
204,753
204,860
204,860
204,860
204,601
204,601
204,601
205,7
206,887
206,887
206,52
206,634
206,205
206,382
206,382
206,382
207,381
207,381
207,381
207,238
207,238
207,54
207,155
208,94
208,535
208,535
208,58
208,58
208,473
208,473
209,933
209,558
209,54
209,54
210,833
210,364
210,735
210,735
210,883
211,409
212,679
212,679
212,841
212,841
212,841
212,162
212,172
212,172
212,172
212,174
212,174
213,792
213,4
213,4
213,4
213,206
214,519
214,519
214,519
215,298
215,298
215,357
215,357
216,383
216,383
216,383
216,369
216,369
216,369
217,76
217,76
217,76
217,612
217,612
217,612
217,65
217,65
217,65
217,785
217,785
217,639
218,186
218,186
218,186
218,257
218,257
218,34
218,34
218,34
218,671
218,671
218,671
218,769
219,501
219,501
219,501
219,230
219,230
219,230
219,7
219,7
219,330
219,330
219,294
219,294
220,932
221,667
221,667
221,667
221,729
221,729
221,729
221,76
221,494
221,494
221,494
221,622
222,730
222,730
222,730
223,780
223,396
223,795
223,795
223,795
224,868
224,868
224,702
224,702
225,954
225,954
225,249
226,564
226,564
226,564
226,648
227,230
227,230
228,610
228,610
228,610
228,291
228,291
228,291
228,793
228,793
228,146
228,146
228,137
228,137
229,817
229,787
229,787
229,787
229,188
229,188
229,635
230,734
230,304
230,515
231,327
231,327
231,327
231,731
231,731
232,798
232,798
